"Moran.s.I","p.value"
0.0189360143594179,0.192
0.00138605388457587,0.432
-0.136863185359745,0.975
-0.0034596111560541,0.459
-0.0104753468103896,0.568
0.0114306155618896,0.307
0.0245044162878295,0.238
0.0366353735000225,0.159
0.0552526729303459,0.16
0.0630619717110966,0.136
