"Moran.s.I","p.value"
0.10362872609515,0.087
0.0480985109079735,0.214
-0.0757164056672257,0.851
0.0693975499751262,0.12
-0.0578345068938846,0.769
-0.142184502030008,0.973
-0.0409987771733398,0.665
0.00232783729248553,0.424
0.0635829142419334,0.145
0.0143517805218007,0.377
