"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Salg af narkotika mv."
" ","Kolding",2,5,5,2,8,7,1,6,5,1,4,7,4,8,7,1,4,3,1,8
" ","Sønderborg",2,4,3,7,2,4,5,2,4,0,3,5,3,3,1,2,1,12,5,13
" ","Tønder",0,0,0,2,0,2,3,0,1,3,2,0,1,2,0,2,1,0,1,0
" ","Varde",0,0,0,2,1,3,2,0,1,1,0,3,5,6,1,0,0,3,0,0
" ","Vejen",1,2,2,2,1,1,3,1,2,1,0,1,1,1,0,2,5,1,0,0
" ","Vejle",2,2,3,5,2,5,3,5,2,4,4,6,6,3,7,5,4,2,4,0
" ","Aabenraa",0,2,2,4,2,0,1,1,2,6,2,7,1,4,4,2,4,2,1,1
" ","Favrskov",0,1,0,1,0,0,1,0,2,1,1,0,1,2,0,2,3,1,2,2
" ","Hedensted",1,4,1,1,1,2,2,1,1,3,4,2,4,3,1,2,0,1,0,2
" ","Horsens",7,10,0,6,8,9,3,5,4,10,8,12,5,3,4,3,9,7,10,4
" ","Norddjurs",0,2,0,1,0,2,0,1,1,1,0,1,4,0,1,3,1,5,1,1
" ","Odder",1,0,0,0,0,0,0,0,1,0,6,0,9,1,2,1,0,1,0,0
" ","Randers",4,4,4,2,14,6,9,5,7,13,9,9,7,3,4,2,6,7,6,8
" ","Samsø",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
" ","Silkeborg",3,3,2,6,5,3,2,4,1,2,0,2,0,2,3,2,6,1,0,0
" ","Skanderborg",2,0,2,0,0,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4
" ","Syddjurs",2,2,0,2,1,0,1,1,2,0,5,3,0,2,2,0,5,12,6,1
" ","Aarhus",14,12,4,9,11,7,10,13,15,15,11,13,15,11,4,10,10,9,13,14
" ","Herning",4,5,2,2,5,1,4,2,2,5,4,2,2,3,4,1,1,3,3,3
" ","Holstebro",0,1,1,1,0,1,1,0,2,3,2,4,5,3,2,5,2,2,3,1
" ","Ikast-Brande",0,0,1,2,4,4,7,3,0,2,2,1,1,0,2,0,1,0,0,2
" ","Lemvig",0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",1,0,1,2,0,0,0,2,1,2,2,0,1,1,1,0,1,2,1,0
" ","Skive",1,2,0,1,3,1,0,7,7,5,3,0,4,4,0,1,0,5,5,6
" ","Struer",0,0,0,1,0,0,2,0,1,2,0,0,1,0,0,0,1,2,0,0
" ","Viborg",5,3,3,6,2,0,3,6,4,4,5,7,4,3,7,1,5,3,3,11
" ","Brønderslev",1,1,3,1,1,3,5,1,0,0,0,2,0,0,0,1,2,2,0,0
" ","Frederikshavn",2,3,1,0,3,1,1,1,1,2,1,0,6,4,0,4,0,3,3,2
" ","Hjørring",0,1,0,2,0,1,1,1,2,2,0,3,2,3,2,0,3,4,5,5
" ","Jammerbugt",2,0,1,3,0,1,1,2,1,0,2,0,2,1,0,0,3,0,2,1
" ","Læsø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",2,1,0,0,2,0,5,3,0,1,1,0,0,1,1,2,0,0,2,0
" ","Morsø",2,0,0,1,0,1,1,1,2,1,0,0,4,1,0,2,0,1,0,0
" ","Rebild",1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
" ","Thisted",0,1,2,6,2,3,0,3,2,1,1,4,0,1,0,1,0,6,5,3
" ","Vesthimmerlands",2,0,2,2,0,1,1,0,0,0,1,0,3,1,0,0,1,2,0,3
" ","Aalborg",7,7,9,7,13,6,10,11,12,14,9,8,10,4,6,6,7,3,4,8
" ","Uoplyst kommune",82,20,36,23,23,17,24,15,30,36,27,41,32,24,38,61,55,47,54,39

"Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik "
"væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød "
"bl.a., at der nu er flere kategorier af seksualforbrydelser end "
"tidligere, der henføres under bestemmelserne om voldtægt (§216). Se "
"mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: "
"http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-"
"26a9fe93 "

