Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Voldsforbrydelser i alt;;;;;;;;;;;;;;;;;;;;;
 ;Fredericia;55;70;76;94;56;61;52;85;63;63;74;65;61;100;75;92;93;90;78;101
 ;Haderslev;48;60;76;59;59;77;46;81;53;73;70;59;55;97;82;76;155;87;75;74
 ;Kolding;95;86;122;113;94;135;111;115;104;134;139;104;100;130;114;128;109;173;128;104
 ;Sønderborg;56;113;85;67;66;81;75;66;72;81;91;69;49;87;78;99;83;103;101;88
 ;Tønder;58;65;72;54;28;49;51;50;42;55;51;46;48;43;57;58;43;53;42;44
 ;Varde;45;38;47;59;47;45;48;39;38;19;51;40;25;54;37;33;31;57;55;44
 ;Vejen;28;24;45;36;38;28;32;43;23;43;45;36;29;37;46;41;38;32;50;43
 ;Vejle;107;150;155;157;128;126;176;165;113;121;130;134;123;169;152;161;138;188;182;155
 ;Aabenraa;71;75;73;78;68;63;64;77;39;76;70;81;47;54;60;71;52;56;84;58
 ;Favrskov;23;31;44;34;43;31;23;64;31;37;32;25;23;57;29;32;39;26;18;49
 ;Hedensted;29;35;30;32;32;23;31;33;17;28;26;34;36;29;33;37;38;23;29;36
 ;Horsens;81;133;110;117;116;96;117;113;123;102;111;80;95;123;128;123;85;151;115;122
 ;Norddjurs;49;55;46;78;44;35;46;42;49;62;76;40;39;33;62;39;44;60;81;70
 ;Odder;14;10;21;13;17;10;12;14;11;7;12;15;12;13;3;6;8;16;12;11
 ;Randers;96;111;125;113;106;120;135;123;109;90;124;112;85;135;115;115;85;116;87;97
 ;Samsø;2;3;5;1;2;2;4;2;1;4;3;2;1;0;0;2;2;2;8;6
 ;Silkeborg;59;72;64;73;79;109;96;69;88;57;65;88;55;54;77;60;80;80;54;75
 ;Skanderborg;25;33;27;35;37;24;54;37;24;24;28;20;27;30;22;28;36;33;38;30
 ;Syddjurs;23;47;19;15;16;20;23;29;24;24;28;29;28;39;23;28;19;26;36;15
