"Anmeldt","Ejendomsforbrydelser i alt","Stevns",765,783,667,584,602,565,545,435,454,456,557
"Anmeldt","Ejendomsforbrydelser i alt","Vordingborg",2405,2183,2348,2336,2546,2425,1642,1485,1382,1253,1361
"Anmeldt","Ejendomsforbrydelser i alt","Assens",1883,1795,1585,1326,1418,1117,1179,1347,1590,1117,993
"Anmeldt","Ejendomsforbrydelser i alt","Faaborg-Midtfyn",2345,1873,2074,1699,1396,1531,1452,1245,1401,1222,1208
"Anmeldt","Ejendomsforbrydelser i alt","Kerteminde",1128,1091,946,898,716,699,709,725,679,536,527
"Anmeldt","Ejendomsforbrydelser i alt","Langeland",651,467,430,375,369,398,382,331,349,312,370
"Anmeldt","Ejendomsforbrydelser i alt","Middelfart",2239,1964,1993,1469,1637,1792,1399,1506,1264,1238,1245
"Anmeldt","Ejendomsforbrydelser i alt","Nordfyns",1438,1049,1133,905,1032,789,954,741,860,611,675
"Anmeldt","Ejendomsforbrydelser i alt","Nyborg",2179,1686,1663,1510,1267,1461,1160,1214,1100,1050,1319
"Anmeldt","Ejendomsforbrydelser i alt","Odense",16757,16010,14692,13473,12778,11987,11046,11302,10991,8805,10062
"Anmeldt","Ejendomsforbrydelser i alt","Svendborg",2943,2751,2358,2074,1870,2407,1967,1883,1776,1960,1927
"Anmeldt","Ejendomsforbrydelser i alt","Ærø",137,154,110,90,99,131,103,89,94,52,66
"Anmeldt","Ejendomsforbrydelser i alt","Billund",1925,1636,1485,1329,1138,1130,1200,1087,832,660,738
"Anmeldt","Ejendomsforbrydelser i alt","Esbjerg",7145,6571,6701,5874,5890,5670,5437,5089,4777,4449,4785
"Anmeldt","Ejendomsforbrydelser i alt","Fanø",135,133,131,104,90,115,139,111,93,85,125
"Anmeldt","Ejendomsforbrydelser i alt","Fredericia",3778,4133,3915,3380,3153,2964,2756,2860,2065,2134,2470
"Anmeldt","Ejendomsforbrydelser i alt","Haderslev",3279,3187,3495,2826,3221,2400,2018,1795,1558,1654,1765
"Anmeldt","Ejendomsforbrydelser i alt","Kolding",6100,5904,6310,5935,5159,5586,5082,4134,3313,3355,3736
"Anmeldt","Ejendomsforbrydelser i alt","Sønderborg",3904,4000,3953,2977,3308,3226,2925,2377,1959,1800,2217
"Anmeldt","Ejendomsforbrydelser i alt","Tønder",1991,1939,1860,1528,1301,1263,1370,1847,971,960,1272
"Anmeldt","Ejendomsforbrydelser i alt","Varde",2518,2259,2243,1959,1827,1930,1997,1798,1341,1223,1344
"Anmeldt","Ejendomsforbrydelser i alt","Vejen",2197,2616,1734,1524,1412,1399,1222,1082,937,883,1121
"Anmeldt","Ejendomsforbrydelser i alt","Vejle",6959,6648,5962,5799,5200,5254,5136,4605,3488,3361,3805
"Anmeldt","Ejendomsforbrydelser i alt","Aabenraa",3544,3388,3620,2722,2727,2578,2356,2130,2036,1662,1647
"Anmeldt","Ejendomsforbrydelser i alt","Favrskov",2004,1950,1683,1562,1492,2595,1326,1226,1022,986,1055
"Anmeldt","Ejendomsforbrydelser i alt","Hedensted",1992,1743,1489,1371,1369,1402,1353,1187,1074,859,1102
"Anmeldt","Ejendomsforbrydelser i alt","Horsens",4950,4857,4252,4047,3700,4157,3667,3195,2785,2831,3180
"Anmeldt","Ejendomsforbrydelser i alt","Norddjurs",1798,1829,1663,1530,1792,1216,1196,1213,1170,974,994
"Anmeldt","Ejendomsforbrydelser i alt","Odder",1078,875,848,693,697,762,633,534,472,468,592
