Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Seksualforbrydelser i alt;;;;;;;;;;;;;;;;;;;;;
 ;Fredericia;12;12;18;9;12;10;7;11;7;9;17;11;11;21;9;17;16;15;14;10
 ;Haderslev;22;10;13;12;10;14;10;11;16;14;11;8;13;14;16;6;38;13;14;17
 ;Kolding;23;32;21;21;23;27;17;16;10;16;14;17;13;22;17;12;23;28;16;16
 ;Sønderborg;46;9;12;8;19;12;12;19;13;5;26;25;8;14;24;16;33;13;16;18
 ;Tønder;23;9;6;2;5;8;12;8;10;13;5;9;8;17;7;8;3;7;8;7
 ;Varde;14;6;10;10;8;10;14;23;7;8;10;5;8;10;14;7;15;11;11;8
 ;Vejen;13;17;12;13;14;8;16;14;5;6;11;10;11;10;8;6;7;15;9;7
 ;Vejle;21;26;15;18;24;31;14;11;28;21;21;21;20;25;33;31;18;31;19;12
 ;Aabenraa;10;14;10;12;13;7;12;13;9;16;18;24;11;22;17;29;7;22;14;23
 ;Favrskov;13;2;7;7;28;8;6;7;83;69;106;9;4;4;2;2;9;8;10;3
 ;Hedensted;11;14;6;11;1;7;4;3;4;7;4;7;7;6;5;5;7;8;8;11
 ;Horsens;16;22;23;13;29;23;17;18;11;14;18;11;9;8;20;15;14;13;27;13
 ;Norddjurs;17;5;9;4;9;8;3;6;10;2;2;8;6;7;4;4;3;4;9;9
 ;Odder;5;3;2;0;6;2;2;2;1;3;3;0;5;2;6;2;3;2;1;0
 ;Randers;45;15;11;19;11;18;25;17;33;15;33;63;25;24;24;51;16;19;24;16
 ;Samsø;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0
 ;Silkeborg;34;12;17;23;19;11;17;14;27;16;12;13;92;14;23;18;13;13;20;17
 ;Skanderborg;13;6;16;6;11;7;8;8;6;4;4;4;5;7;8;4;8;8;17;3
 ;Syddjurs;38;7;7;1;6;4;35;3;7;4;4;3;6;1;3;7;4;4;6;4
 ;Aarhus;163;49;35;42;37;51;59;31;34;54;51;28;50;40;65;63;99;201;56;39
 ;Herning;41;15;13;17;9;12;11;16;15;17;14;10;12;24;18;47;18;15;18;22
 ;Holstebro;22;23;8;9;12;8;17;39;25;11;25;16;17;32;25;12;14;34;16;8
 ;Ikast-Brande;5;4;5;3;4;12;11;8;4;3;11;7;4;6;8;7;8;12;6;6
 ;Lemvig;2;2;2;0;2;4;7;1;4;0;1;0;1;2;3;3;0;3;3;3
 ;Ringkøbing-Skjern;17;8;4;2;5;11;7;9;7;10;16;13;22;13;7;2;8;10;9;1
 ;Skive;16;12;7;15;15;70;11;7;7;5;7;8;7;5;10;11;12;10;7;9
 ;Struer;9;4;2;2;14;6;4;15;2;5;1;3;4;5;7;5;5;3;0;9
 ;Viborg;53;9;12;30;10;15;20;12;26;10;42;19;32;38;22;253;47;27;19;17
 ;Brønderslev;3;9;10;4;4;7;0;3;2;2;19;13;5;5;8;1;7;6;9;7
 ;Frederikshavn;44;18;15;8;17;9;12;5;9;6;9;10;11;30;14;15;11;9;12;11
 ;Hjørring;9;10;11;151;8;7;16;10;18;6;10;13;4;18;14;13;11;13;7;17
 ;Jammerbugt;18;14;8;5;6;3;4;5;4;3;21;14;12;16;3;6;9;12;7;5
 ;Læsø;0;0;0;0;1;0;9;0;2;0;1;0;0;0;0;0;0;0;0;0
 ;Mariagerfjord;6;4;5;3;9;4;8;11;4;11;9;3;6;10;11;7;6;6;11;9
 ;Morsø;2;0;1;8;0;5;11;4;0;4;1;8;0;5;6;2;5;3;9;12
 ;Rebild;16;2;1;2;10;29;2;3;4;2;4;5;0;6;4;1;3;5;1;2
 ;Thisted;5;7;2;8;6;12;6;15;12;5;3;4;3;1;11;16;7;10;8;11
 ;Vesthimmerlands;25;5;13;4;9;7;9;7;9;9;10;21;9;5;11;6;10;7;2;7
