Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Våbenloven;;;;;;;;;;;;;;;;;;;;;
 ;Fredericia;37;46;32;47;66;114;77;40;48;53;40;29;16;15;23;19;27;27;24;26
 ;Haderslev;28;44;43;46;53;54;36;31;28;20;30;38;22;22;28;21;12;14;19;19
 ;Kolding;55;53;62;103;84;97;58;60;59;50;61;32;44;36;64;45;34;34;47;31
 ;Sønderborg;38;32;59;53;58;82;72;52;50;36;44;44;31;29;33;31;18;42;33;29
 ;Tønder;14;22;27;40;26;33;36;25;29;17;27;26;12;16;17;17;16;7;11;15
 ;Varde;27;31;37;53;49;43;36;16;25;22;29;17;29;30;23;13;9;10;18;12
 ;Vejen;10;24;42;47;52;52;22;25;25;18;19;6;20;8;20;5;5;18;11;7
 ;Vejle;45;45;58;94;101;72;71;51;44;59;80;52;54;41;48;52;38;40;42;43
 ;Aabenraa;59;54;55;98;79;73;75;66;54;53;65;46;37;44;60;43;44;47;48;49
 ;Favrskov;25;16;14;20;24;32;15;23;14;9;24;12;19;10;16;14;6;7;12;4
 ;Hedensted;27;27;25;39;46;59;27;19;24;17;22;21;20;16;22;16;8;3;12;7
 ;Horsens;60;56;82;93;84;108;74;43;62;65;55;52;45;30;50;60;39;33;34;38
 ;Norddjurs;32;15;37;48;49;44;42;32;21;21;18;22;22;15;18;13;7;11;11;12
 ;Odder;8;9;9;14;11;15;8;8;9;12;2;8;2;2;7;4;0;6;5;5
 ;Randers;61;65;89;92;111;95;100;58;50;62;75;70;43;42;75;45;47;46;32;39
 ;Samsø;0;0;0;3;3;2;0;3;1;1;1;1;0;0;0;4;0;0;3;1
 ;Silkeborg;63;52;42;62;75;71;58;48;60;32;49;37;30;42;24;25;25;15;19;26
 ;Skanderborg;32;20;25;39;38;32;25;17;16;14;20;12;20;12;9;14;6;12;10;7
 ;Syddjurs;26;21;24;42;34;37;22;15;21;11;20;18;12;11;14;6;10;12;11;6
 ;Aarhus;164;183;212;218;342;289;225;206;232;148;218;192;211;185;147;124;201;182;140;192
 ;Herning;43;44;56;79;94;95;49;47;54;48;61;46;37;31;37;20;33;12;24;24
 ;Holstebro;31;34;39;47;58;57;40;34;27;27;43;35;25;24;27;31;14;30;10;17
 ;Ikast-Brande;29;21;27;38;58;40;28;20;17;8;17;17;15;9;16;16;7;8;7;5
 ;Lemvig;10;7;10;16;16;18;7;8;13;5;12;12;7;23;12;7;6;3;5;1
 ;Ringkøbing-Skjern;19;22;27;38;28;24;28;23;20;22;16;11;17;10;12;14;8;2;7;6
 ;Skive;25;21;33;43;45;30;29;19;30;14;32;13;16;19;22;14;13;19;12;17
 ;Struer;8;11;12;17;21;21;15;15;18;14;17;12;11;6;9;9;12;8;12;5
 ;Viborg;69;61;60;84;97;78;84;53;44;37;44;36;46;43;32;40;29;23;13;14
 ;Brønderslev;21;16;15;31;36;35;24;20;22;8;22;18;20;13;11;11;14;15;8;15
 ;Frederikshavn;26;39;41;63;55;49;37;36;26;22;23;26;29;19;26;16;33;16;27;21
 ;Hjørring;42;30;47;44;49;59;38;44;27;32;45;37;28;30;29;32;19;23;13;21
 ;Jammerbugt;34;16;32;30;33;39;36;12;27;14;24;12;14;11;15;5;10;13;10;7
 ;Læsø;2;1;2;1;4;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0
 ;Mariagerfjord;21;25;33;46;45;50;32;24;21;15;25;13;18;12;17;9;9;18;11;12
 ;Morsø;17;10;12;16;16;13;18;7;6;5;5;7;9;4;1;4;1;0;3;1
 ;Rebild;10;10;10;39;24;29;18;10;9;9;15;18;7;10;6;5;8;3;0;2
 ;Thisted;27;31;36;34;41;37;21;17;14;26;17;11;14;14;18;12;8;7;7;11
 ;Vesthimmerlands;29;17;38;38;42;39;20;13;23;7;14;10;25;14;16;6;13;18;11;4
 ;Aalborg;107;126;158;197;260;255;180;122;114;129;151;132;147;123;111;82;73;61;65;75
 ;Uoplyst kommune;6;5;4;6;7;4;9;4;5;3;5;8;1;0;3;3;2;7;6;0
;;;;;;;;;;;;;;;;;;;;;
Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik ;;;;;;;;;;;;;;;;;;;;;
væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød;;;;;;;;;;;;;;;;;;;;;
bl.a., at der nu er flere kategorier af seksualforbrydelser end ;;;;;;;;;;;;;;;;;;;;;
tidligere, der henføres under bestemmelserne om voldtægt (§216). Se;;;;;;;;;;;;;;;;;;;;;
mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: ;;;;;;;;;;;;;;;;;;;;;
http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-;;;;;;;;;;;;;;;;;;;;;
26a9fe93;;;;;;;;;;;;;;;;;;;;;
