"Anmeldte forbrydelser og sigtelser efter anmeldte og sigtede,"
"overtrædelsens art, område og tid"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Anmeldt"
" ","Overtrædelsens art i alt"
" "," ","Horsens",7250,6946,6142,5928,5606,6425,6442,6375,5034,5252,5563
" "," ","Norddjurs",2511,2463,2280,2271,2527,1985,2245,2264,2006,1785,1969
" "," ","Odder",1267,1068,1004,869,936,1030,949,802,734,715,882
" "," ","Randers",8038,8093,7257,7278,8024,7134,6540,7777,7305,7064,6824
" "," ","Samsø",156,154,152,186,177,158,177,163,154,114,181
" "," ","Silkeborg",6215,5716,5415,4752,4547,5574,5238,4704,4374,4096,4219
" "," ","Skanderborg",4125,3942,3525,3149,3109,3380,2933,2795,2082,2322,2323
" "," ","Syddjurs",2628,2784,2327,2269,2282,2467,2203,1961,1941,1735,1843
" "," ","Aarhus",39099,38435,36011,32220,33315,32480,31581,30534,28031,27201,31748
" "," ","Herning",6036,5820,5246,5783,5933,6048,6262,5807,5404,4656,7079
" "," ","Holstebro",4030,3844,3573,3314,3086,4212,3922,3860,3134,3584,3251
" "," ","Ikast-Brande",2749,2321,2151,1871,2518,10032,16093,10939,4282,2979,4871
" "," ","Lemvig",863,734,675,677,596,631,704,759,794,797,676
" "," ","Ringkøbing-Skjern",3200,2937,2757,2514,2526,2713,2420,2087,1958,1983,2201
" "," ","Skive",2775,2930,2568,2574,2279,2340,2333,2559,2183,1975,2518
" "," ","Struer",1099,1061,1041,1046,993,1017,894,1257,979,923,995
" "," ","Viborg",5215,5472,5438,5089,5114,5132,6860,4955,4550,4980,10227
" "," ","Brønderslev",1981,2105,1901,1613,1673,1782,1798,1605,1428,1488,1552
" "," ","Frederikshavn",4226,4142,3459,3724,4028,4255,4695,3579,2932,2754,3034
" "," ","Hjørring",4263,4333,3728,4235,4106,4604,3546,3276,2680,2623,3277
" "," ","Jammerbugt",2532,2383,1878,2006,1951,1763,1929,1765,1597,1558,1467
" "," ","Læsø",54,65,65,60,39,40,73,56,43,30,42
" "," ","Mariagerfjord",2837,2797,2861,2548,2299,2067,2329,2139,2038,1969,1956
" "," ","Morsø",1208,1272,1267,994,1083,1159,976,992,868,708,870
" "," ","Rebild",1858,1537,1424,1324,1297,1115,1161,1152,1195,1043,1047
" "," ","Thisted",2714,2525,2151,2041,2449,1998,2348,2016,1577,1726,2102
" "," ","Vesthimmerlands",2610,2737,2463,2472,2154,2057,1936,1824,1737,2223,1651
" "," ","Aalborg",19561,20284,18732,16821,16081,17152,15839,15456,11973,11290,14943
" "," ","Uoplyst kommune",11103,11939,18047,24637,27410,34745,33116,37391,42306,39430,39910

"Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik "
"væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød "
"bl.a., at der nu er flere kategorier af seksualforbrydelser end "
"tidligere, der henføres under bestemmelserne om voldtægt (§216). Se "
"mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: "
"http://www.dst.dk/statistikdokumentation/028a7e24-ff82-4219-89ae-6752-"
"0ea95adf "

