Anmeldte forbrydelser efter overtrædelsens art, område og tid;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 ; ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Skatte- og afgiftslove mv.;;;;;;;;;;;;;;;;;;;;;
 ;Fredericia;14;6;16;10;12;18;15;31;38;32;25;27;21;29;9;22;24;28;13;38
 ;Haderslev;10;13;11;10;9;16;15;20;13;32;22;30;18;25;16;23;12;21;20;15
 ;Kolding;37;28;14;15;13;33;21;49;86;198;48;83;55;53;63;53;64;102;38;62
 ;Sønderborg;7;7;3;2;4;15;5;12;14;21;10;9;17;11;17;10;10;10;11;14
 ;Tønder;2;10;8;7;10;9;12;17;10;23;8;4;13;13;8;16;11;13;12;6
 ;Varde;4;2;4;2;10;10;5;15;11;23;3;6;17;13;10;7;14;12;17;10
 ;Vejen;6;11;4;11;10;18;8;6;12;13;11;9;17;11;6;4;15;16;9;18
 ;Vejle;10;27;16;23;13;34;20;20;36;47;35;44;46;28;29;34;54;41;52;33
 ;Aabenraa;33;21;17;34;58;62;28;33;141;223;76;112;85;65;60;67;110;85;56;73
 ;Favrskov;4;6;1;1;1;7;6;7;9;7;4;4;18;9;7;17;9;8;4;5
 ;Hedensted;5;5;10;7;10;8;13;6;15;13;12;12;23;7;11;13;14;9;16;10
 ;Horsens;13;21;10;8;8;10;10;19;30;15;13;24;24;31;17;12;41;18;25;25
 ;Norddjurs;5;9;7;7;11;11;11;9;14;13;3;6;20;9;11;23;25;11;13;11
 ;Odder;1;4;5;1;2;4;1;0;0;2;1;0;2;2;1;2;7;2;3;7
 ;Randers;37;30;27;17;18;22;20;32;39;52;34;24;62;56;33;44;45;35;38;49
 ;Samsø;0;0;13;1;0;0;13;0;0;7;18;1;1;1;4;1;0;1;4;2
 ;Silkeborg;10;9;2;2;6;7;20;12;21;27;16;9;18;25;14;9;13;9;11;14
 ;Skanderborg;8;9;8;1;4;11;15;13;11;36;19;6;12;8;9;11;16;16;11;7
 ;Syddjurs;4;4;2;7;5;7;4;9;7;13;7;6;13;7;4;5;12;6;6;20
 ;Aarhus;43;47;23;40;34;27;29;42;104;114;51;77;104;100;83;107;69;87;36;93
 ;Herning;10;11;15;10;15;20;14;15;22;21;24;26;18;20;18;25;25;26;30;19
 ;Holstebro;8;6;8;5;10;7;16;13;6;14;11;13;8;9;11;8;9;11;5;6
 ;Ikast-Brande;6;3;4;5;3;2;7;11;8;12;13;8;5;7;3;10;7;15;10;10
 ;Lemvig;0;1;3;1;4;0;1;2;8;8;5;1;2;2;3;0;3;6;0;3
 ;Ringkøbing-Skjern;5;4;2;4;4;6;6;3;6;6;10;4;17;8;10;7;9;6;5;5
 ;Skive;7;3;9;6;7;9;8;6;9;12;7;12;15;12;7;8;10;12;7;13
 ;Struer;1;4;4;2;8;0;3;1;5;4;7;3;4;4;5;4;2;5;1;0
 ;Viborg;20;9;17;7;16;13;24;10;9;21;22;6;15;16;13;17;20;13;26;21
 ;Brønderslev;8;6;6;1;6;7;9;6;10;24;14;17;15;15;20;16;13;12;13;14
 ;Frederikshavn;8;9;21;6;11;14;13;16;24;17;13;7;9;26;22;13;18;16;20;17
 ;Hjørring;5;6;8;9;6;7;15;19;12;36;12;14;14;27;14;27;10;21;27;21
 ;Jammerbugt;10;6;17;6;7;6;6;9;8;24;16;5;13;9;14;14;13;5;12;5
 ;Læsø;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
 ;Mariagerfjord;4;7;10;3;9;6;12;4;13;12;14;10;22;22;15;22;4;20;16;12
 ;Morsø;3;4;3;4;1;3;3;1;2;3;1;3;2;4;6;0;2;3;2;2
 ;Rebild;12;6;9;8;3;10;4;11;27;14;7;8;14;10;7;7;13;11;9;10
 ;Thisted;3;1;7;6;4;5;7;11;7;19;5;3;6;11;6;5;7;5;5;5
 ;Vesthimmerlands;9;8;13;10;3;9;4;4;8;10;15;10;13;17;9;27;11;14;12;9
 ;Aalborg;95;74;125;82;87;66;65;111;127;135;86;65;92;90;79;96;254;140;110;85
 ;Uoplyst kommune;14;52;22;31;13;16;10;13;21;11;13;31;36;47;53;52;73;94;92;62
;;;;;;;;;;;;;;;;;;;;;
Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik ;;;;;;;;;;;;;;;;;;;;;
væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød;;;;;;;;;;;;;;;;;;;;;
bl.a., at der nu er flere kategorier af seksualforbrydelser end ;;;;;;;;;;;;;;;;;;;;;
tidligere, der henføres under bestemmelserne om voldtægt (§216). Se;;;;;;;;;;;;;;;;;;;;;
mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: ;;;;;;;;;;;;;;;;;;;;;
http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-;;;;;;;;;;;;;;;;;;;;;
26a9fe93;;;;;;;;;;;;;;;;;;;;;
