"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Overtrædelsens art i alt"
" ","Billund",418,495,550,525,451,456,629,532,541,300,446,338,384,370,403,564,510,473,483,425
" ","Esbjerg",1944,2198,2455,2433,2188,2229,2178,2372,2999,1813,2039,1970,1799,1811,2070,1888,1935,2034,1938,2025
" ","Fanø",59,54,67,49,47,37,43,20,23,27,45,44,24,40,43,34,45,43,51,32
" ","Fredericia",1171,1186,1104,1156,1014,1023,1100,1094,1177,1131,881,975,763,972,937,1080,953,1001,983,1111
" ","Haderslev",824,858,839,851,789,790,683,754,690,638,612,660,597,721,700,695,774,771,780,690
" ","Kolding",2031,1861,1759,1953,1628,1668,1587,1579,1488,1401,1335,1247,1230,1316,1433,1478,1299,1665,1471,1429
" ","Sønderborg",936,1150,1162,1136,979,1164,1014,849,804,770,792,847,664,768,802,823,774,958,952,1046
" ","Tønder",518,609,695,759,597,1087,684,630,552,467,583,519,522,533,469,449,644,539,520,496
" ","Varde",753,647,725,699,605,597,604,697,634,547,531,496,440,500,546,512,542,574,585,542
" ","Vejen",459,507,508,568,610,469,496,585,447,645,367,468,440,400,434,446,471,820,575,498
" ","Vejle",1850,2005,1769,2104,1778,1971,1874,1799,1549,1473,1765,1361,1354,1388,1635,1686,1554,1658,1623,1721
" ","Aabenraa",1236,1151,1382,1409,1418,1243,1196,1336,1248,1107,1391,1542,1056,1130,1088,1195,1112,1203,1077,1080
" ","Favrskov",566,504,426,478,414,482,445,510,478,374,515,375,426,353,365,352,383,328,381,463
" ","Hedensted",515,573,496,563,423,486,654,430,436,421,401,398,347,362,423,420,433,413,426,514
" ","Horsens",1502,1657,1567,1472,1400,1792,1482,1287,1364,1171,1166,1165,1135,1064,1309,1493,1215,1306,1380,1389
" ","Norddjurs",506,493,521,647,631,522,511,481,514,426,494,500,448,325,413,405,362,437,575,427
" ","Odder",256,227,221,218,205,194,185,196,195,163,161,170,132,151,189,165,148,178,260,227
" ","Randers",1407,1443,1662,1702,1774,2028,1703,1915,1842,1556,2005,1521,1390,1701,1659,1401,1398,1601,1587,1766
" ","Samsø",30,30,80,29,14,28,76,35,26,43,56,25,29,15,32,29,17,34,80,31
" ","Silkeborg",1265,1209,1164,1429,1174,1164,1060,1153,1275,939,1061,939,963,885,1058,998,1043,1000,1056,947
" ","Skanderborg",661,707,862,631,590,592,775,539,518,462,511,515,636,439,555,574,518,513,638,532
" ","Syddjurs",548,550,511,533,438,507,540,409,471,403,383,608,411,402,387,357,349,428,432,437
" ","Aarhus",7653,7606,7380,7789,7242,6607,8277,7050,6553,6016,7809,6598,5092,5974,6567,7928,6831,8055,7360,8057
" ","Herning",1505,1493,1408,1598,1498,1314,1275,1504,1334,1047,1180,1043,957,1101,1109,1304,1159,1605,1448,1294
" ","Holstebro",795,933,1118,945,1216,788,848,915,778,760,769,729,550,703,1129,834,667,803,668,805
" ","Ikast-Brande",1758,1367,2196,1824,2322,2420,2908,2089,2077,929,469,575,799,653,642,743,560,800,1188,1077
" ","Lemvig",129,161,213,179,158,169,211,174,209,242,151,151,171,193,248,140,177,177,153,137
" ","Ringkøbing-Skjern",578,609,610,566,487,477,487,511,478,527,430,456,476,448,417,518,501,489,613,470
" ","Skive",549,578,555,580,506,572,562,838,574,477,482,477,446,453,506,458,445,607,630,475
" ","Struer",224,198,227,196,330,209,217,290,260,226,266,205,190,192,202,228,199,241,235,255
" ","Viborg",1363,1356,2436,1345,1117,1174,1227,1283,1143,1040,1168,993,954,925,1066,1829,1121,1360,1223,1123
" ","Brønderslev",428,462,426,417,358,418,413,371,328,316,316,382,268,496,324,299,304,421,353,390
" ","Frederikshavn",995,1215,836,1548,908,854,909,809,769,773,691,592,547,670,739,615,666,674,866,653
" ","Hjørring",975,765,820,903,842,718,753,843,696,562,655,612,453,653,662,695,805,729,736,763
" ","Jammerbugt",511,440,442,509,491,401,369,424,372,359,398,421,319,302,423,359,364,323,401,305
" ","Læsø",14,8,29,19,15,9,25,6,11,7,19,5,6,6,11,4,2,12,22,4
" ","Mariagerfjord",518,496,649,618,474,460,518,618,567,429,488,499,436,435,406,533,483,395,418,411
" ","Morsø",193,171,213,285,228,213,242,204,217,238,194,181,211,144,141,180,178,206,222,219
" ","Rebild",291,244,295,298,238,291,260,308,311,295,285,255,256,225,195,258,318,263,192,229
" ","Thisted",542,559,563,571,506,423,477,504,371,369,351,371,310,402,425,500,595,458,456,394
" ","Vesthimmerlands",448,492,479,458,433,400,472,441,449,399,397,429,847,384,427,443,393,447,404,346
" ","Aalborg",3527,4168,3960,3836,3798,4193,3339,3623,3484,2485,2979,2538,2428,2469,2722,2740,3413,3878,3375,3427
" ","Uoplyst kommune",5477,7646,7271,7930,8606,8255,10049,9055,10318,11670,9818,9905,13642,9242,8496,8980,8973,8838,12048,11572

"Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik "
"væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød "
"bl.a., at der nu er flere kategorier af seksualforbrydelser end "
"tidligere, der henføres under bestemmelserne om voldtægt (§216). Se "
"mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: "
"http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-"
"26a9fe93 "

