Folketal den 1. i kvartalet efter område og tid;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
 ;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3;2020K4;2021K1;2021K2;2021K3;2021K4;2022K1;2022K2;2022K3;2022K4
Vordingborg;46087;45925;45945;45930;45816;45747;45794;45622;45566;45463;45426;45365;45268;45234;45337;45377;45352;45371;45452;45455
Assens;41328;41367;41474;41360;41212;41120;41120;41060;40965;40920;40903;40791;40867;40880;40838;40861;40972;40912;40980;41013
Faaborg-Midtfyn;51536;51559;51698;51752;51809;51817;51746;51566;51556;51519;51571;51562;51683;51639;51787;51788;51849;51928;52101;52139
Kerteminde;23756;23736;23854;23802;23773;23831;23863;23789;23812;23839;23824;23833;23847;23835;23914;24006;24034;24040;24051;24064
Langeland;12641;12585;12609;12579;12560;12568;12547;12505;12491;12425;12395;12350;12367;12361;12373;12320;12316;12308;12421;12394
Middelfart;38210;38259;38363;38447;38553;38706;38862;38796;38853;38955;38998;39026;39116;39290;39433;39520;39603;39677;39938;39992
Nordfyns;29516;29518;29624;29774;29693;29722;29764;29728;29665;29662;29631;29586;29549;29527;29594;29664;29714;29796;29915;29821
Nyborg;32032;32012;32032;32057;32042;32035;31974;31991;32009;31973;31933;31918;31933;31965;32017;32055;32098;32054;32228;32149
Odense;202348;202506;202663;204080;204182;204170;204120;205297;204895;205106;204718;205881;205509;205018;204795;205905;205978;206144;206785;207782
Svendborg;58698;58716;58707;58661;58599;58584;58513;58485;58296;58345;58261;58355;58588;58847;58909;59096;59193;59233;59563;59742
Ærø;6178;6155;6110;6089;6058;6013;6033;5990;5964;5971;5987;5958;5960;6004;6016;6012;6025;6029;6084;6019
Billund;26482;26549;26618;26563;26629;26699;26699;26615;26608;26586;26560;26529;26551;26488;26576;26581;26631;26753;26961;26961
Esbjerg;116032;116054;116061;115912;115652;115658;115675;115565;115483;115657;115650;115498;115579;115577;115529;115470;115459;115477;115917;115766
Fanø;3401;3419;3414;3426;3404;3416;3475;3487;3488;3477;3486;3449;3456;3449;3451;3436;3427;3428;3438;3424
Fredericia;51326;51391;51460;51377;51427;51442;51417;51420;51377;51408;51386;51281;51275;51370;51521;51536;51606;51717;51964;52070
Haderslev;55963;55949;55927;55846;55857;55868;55829;55641;55670;55655;55518;55446;55376;55339;55403;55351;55340;55273;55565;55439
Kolding;92515;92589;92647;92709;92893;92970;93073;93282;93175;93193;92995;93092;93161;93119;93061;93318;93544;93810;94315;94510
Sønderborg;74650;74663;74773;74607;74561;74430;74353;74233;74220;74150;74083;73888;73831;73796;73717;73685;73711;73806;74190;74308
Tønder;37777;37719;37702;37621;37587;37543;37573;37398;37366;37249;37174;37122;37050;37022;37021;36886;36849;36883;37053;36923
Varde;50301;50253;50214;50135;50129;50170;50237;49949;49961;49939;49886;49671;49628;49683;49746;49660;49664;49714;50007;49981
Vejen;42844;42886;42901;42826;42863;42841;42776;42703;42742;42716;42805;42767;42790;42763;42788;42689;42596;42607;42857;42823
Vejle;114140;114191;114464;114594;114830;115025;115316;115614;115748;116120;116468;116665;116992;117541;118028;118364;119060;119507;120361;120590
Aabenraa;59089;59007;59055;58987;59035;59057;58914;58780;58761;58694;58735;58515;58526;58587;58518;58595;58693;58770;59053;59016
Favrskov;48271;48245;48406;48281;48374;48320;48373;48404;48397;48415;48393;48294;48381;48493;48630;48746;48880;48999;49222;49218
Hedensted;46616;46634;46667;46689;46747;46654;46726;46685;46722;46734;46731;46690;46773;46876;47005;47047;47099;47209;47621;47536
Horsens;89598;89708;89927;90279;90370;90648;90961;91296;90966;91142;91469;91764;92229;92554;93093;93905;94443;94951;95675;96188
Norddjurs;38197;38001;37906;37806;37680;37613;37463;37360;37089;36996;36994;36906;36943;36974;36977;37022;36921;36976;37083;37081
Odder;22626;22616;22639;22624;22675;22696;22783;22854;22844;22918;22888;22917;22979;23028;23091;23206;23304;23404;23578;23578
Randers;98265;98117;98071;97910;97909;97898;98009;97886;97805;97945;98122;98026;98190;98347;98549;98776;98988;99126;99794;99869
Samsø;3720;3698;3705;3709;3684;3672;3689;3665;3657;3636;3651;3666;3682;3694;3697;3707;3716;3706;3768;3783
Silkeborg;92024;92169;92513;92786;93054;93340;93636;93782;94026;94319;94648;94892;95488;95980;96409;96779;97358;97858;98825;99131
Skanderborg;61158;61266;61548;61720;61974;62144;62286;62479;62678;62935;63070;63144;63390;63455;63791;63977;64318;64545;65019;65048
Syddjurs;42468;42520;42636;42700;42768;42862;42900;42976;42962;43087;43107;43231;43168;43310;43441;43629;43596;43752;44086;44190
Aarhus;340421;341372;341497;345755;345332;345545;345635;349977;349983;349956;349433;353445;352751;352348;352315;355458;355238;355607;356829;361141
Herning;88733;88744;88839;88886;88917;88973;89128;89085;89127;89272;89411;89240;89238;89320;89332;89196;89230;89475;89928;89931
Holstebro;58418;58450;58546;58457;58504;58525;58543;58566;58591;58662;58685;58617;58662;58686;58618;58513;58553;58617;58955;58979
Ikast-Brande;41191;41320;41458;41395;41282;41436;41664;41506;41369;41385;41395;41376;41473;41567;41832;41878;41885;42052;42516;42540
Lemvig;20133;20098;20131;20015;19998;19934;19938;19748;19722;19690;19662;19594;19607;19560;19519;19369;19398;19344;19507;19383
Ringkøbing-Skjern;57005;57029;57099;56942;56930;56975;56883;56622;56594;56460;56366;56157;56182;56155;56239;56195;56203;56176;56534;56327
Skive;46599;46516;46413;46265;46224;46138;46151;45924;45851;45864;45728;45499;45425;45409;45226;45097;45078;45078;45352;45259
Struer;21270;21277;21306;21170;21143;21161;21124;21014;21036;20990;20951;20869;20808;20820;20829;20795;20802;20817;20943;20855
Viborg;96883;97118;97061;97181;97113;97256;97245;97084;96921;96808;96706;96539;96679;96669;96696;96826;96847;96868;97455;97575
Brønderslev;36289;36373;36357;36328;36370;36339;36435;36404;36304;36346;36295;36183;36177;36140;36169;36187;36194;36331;36529;36517
Frederikshavn;60140;60110;60197;60049;59987;59960;59906;59761;59654;59501;59353;59187;59039;58933;59023;58883;58878;58841;59068;58958
Hjørring;65257;65185;65058;64899;64665;64668;64659;64610;64483;64427;64450;64213;64155;64099;64017;63861;63839;63757;64032;64035
Jammerbugt;38638;38590;38591;38552;38460;38480;38440;38461;38324;38397;38357;38288;38175;38166;38200;38172;38187;38162;38423;38396
Læsø;1807;1807;1809;1821;1806;1817;1812;1797;1786;1787;1776;1767;1764;1776;1785;1795;1769;1784;1790;1786
Mariagerfjord;42125;42086;42177;42116;42055;41958;41951;41808;41800;41743;41687;41543;41536;41584;41572;41562;41662;41653;41880;41908
Morsø;20514;20501;20503;20436;20403;20394;20366;20241;20247;20196;20214;20135;20066;20078;20082;20055;20068;20049;20119;20022
Rebild;29827;29891;29935;29852;29916;29917;30073;30116;30113;30208;30359;30438;30518;30504;30558;30638;30646;30725;30948;30908
Thisted;43716;43742;43758;43654;43660;43584;43553;43416;43423;43385;43383;43217;43160;43126;43142;43115;43089;43081;43415;43365
Vesthimmerlands;37277;37240;37232;37181;37121;37045;37026;36824;36727;36659;36647;36458;36362;36343;36379;36342;36326;36282;36436;36423
Aalborg;213558;213241;213271;215122;215312;215443;215510;217142;217075;217063;217316;219310;219487;219573;219476;221114;221082;221093;221683;222607
