"Anmeldte forbrydelser efter overtrædelsens art, område og tid"

" "," ","2018K1","2018K2","2018K3","2018K4","2019K1","2019K2","2019K3","2019K4","2020K1","2020K2","2020K3","2020K4","2021K1","2021K2","2021K3","2021K4","2022K1","2022K2","2022K3","2022K4"
"Smugling mv. af narkotika"
" ","Kolding",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
" ","Sønderborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Tønder",0,0,1,1,0,0,2,1,0,2,0,0,0,0,1,3,0,1,0,1
" ","Varde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Vejen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
" ","Vejle",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
" ","Aabenraa",7,6,3,3,5,5,9,7,10,4,5,2,6,6,3,4,5,8,3,6
" ","Favrskov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
" ","Hedensted",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
" ","Horsens",9,1,14,1,1,0,0,0,1,0,4,0,0,0,1,15,0,0,0,1
" ","Norddjurs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
" ","Odder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Randers",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
" ","Samsø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Silkeborg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
" ","Skanderborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
" ","Syddjurs",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0
" ","Aarhus",2,1,0,3,2,1,1,2,2,0,0,9,0,1,0,3,1,0,3,1
" ","Herning",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
" ","Holstebro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Ikast-Brande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Lemvig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Ringkøbing-Skjern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Skive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Struer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Viborg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Brønderslev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Frederikshavn",2,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
" ","Hjørring",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
" ","Jammerbugt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Læsø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Mariagerfjord",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
" ","Morsø",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Rebild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Thisted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Vesthimmerlands",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","Aalborg",0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,1,0,1,0
" ","Uoplyst kommune",5,4,12,8,9,2,1,4,21,19,9,2,12,5,8,11,9,15,20,16

"Straffelovens bestemmelser vedr. seksualforbrydelser gennemgik "
"væsentlige ændringer med virkning fra 1. juli 2013. Ændringerne betød "
"bl.a., at der nu er flere kategorier af seksualforbrydelser end "
"tidligere, der henføres under bestemmelserne om voldtægt (§216). Se "
"mere herom i statistikdokumentationen, i afsnittet Sammenlignelighed: "
"http://www.dst.dk/statistikdokumentation/c1ac7749-1e15-4d3a-8ed0-fb2d-"
"26a9fe93 "

